KEGG_ID	CoA_names	carnitine_names
C05450	3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA; 3alpha,7alpha,12alpha,24zeta-Tetrahydroxy-5beta-cholestanoyl-CoA; 3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanyl-CoA; 3alpha,7alpha,12alpha,24zeta-Tetrahydroxy-5beta-cholestanyl-CoA	3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-carnitine; 3alpha,7alpha,12alpha,24zeta-Tetrahydroxy-5beta-cholestanoyl-carnitine; 3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanyl-carnitine; 3alpha,7alpha,12alpha,24zeta-Tetrahydroxy-5beta-cholestanyl-carnitine
C05460	(24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA; (24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enyl-CoA	(24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-carnitine; (24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enyl-carnitine
C05467	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanoyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanyl-CoA	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanoyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanyl-carnitine
C05668	3-Hydroxypropionyl-CoA; 3-Hydroxypropionyl coenzyme A; 3-Hydroxypropanoyl-CoA; 3-Hydroxypropanoyl coenzymeA; beta-Hydroxypropionyl-CoA	3-Hydroxypropionyl-carnitine; 3-Hydroxypropionyl carnitine; 3-Hydroxypropanoyl-carnitine; 3-Hydroxypropanoyl coenzymeA; beta-Hydroxypropionyl-carnitine
C05989	3-Oxopropionyl-CoA; 3-Oxopropanoyl-CoA; Malonyl semialdehyde-CoA	3-Oxopropionyl-carnitine; 3-Oxopropanoyl-carnitine; Malonyl semialdehyde-carnitine
C05998	3-Hydroxyisovaleryl-CoA; 3-Hydroxyisovaleryl coenzyme A; 3-Hydroxy-3-methylbutanoyl-CoA	3-Hydroxyisovaleryl-carnitine; 3-Hydroxyisovaleryl carnitine; 3-Hydroxy-3-methylbutanoyl-carnitine
C06000	(S)-3-Hydroxyisobutyryl-CoA; (S)-3-Hydroxyisobutanoyl-CoA; (S)-3-Hydroxy-2-methylpropanoyl-CoA	(S)-3-Hydroxyisobutyryl-carnitine; (S)-3-Hydroxyisobutanoyl-carnitine; (S)-3-Hydroxy-2-methylpropanoyl-carnitine
C06027	L-erythro-3-Methylmalyl-CoA; beta-Methylmalyl-CoA; (2R,3S)-2-Methylmalyl-CoA; L-erythro-beta-Methylmalyl-CoA; (2R,3S)-2-Methyl-3-carboxy-3-hydroxypropanoyl-CoA	L-erythro-3-Methylmalyl-carnitine; beta-Methylmalyl-carnitine; (2R,3S)-2-Methylmalyl-carnitine; L-erythro-beta-Methylmalyl-carnitine; (2R,3S)-2-Methyl-3-carboxy-3-hydroxypropanoyl-carnitine
C06028	2-Methylfumaryl-CoA; Mesaconyl-CoA; Mesaconyl-C1-CoA; (E)-3-Carboxy-2-methylprop-2-enoyl-CoA	2-Methylfumaryl-carnitine; Mesaconyl-carnitine; Mesaconyl-C1-carnitine; (E)-3-Carboxy-2-methylprop-2-enoyl-carnitine
C06322	Cyclohexa-1,5-diene-1-carbonyl-CoA; Cyclohexa-1,5-dienecarbonyl-CoA; S-1,5-Cyclohexadiene-1-carboxylate coenzymeA; Cyclohexa-1,5-diene-1-carbonoyl-CoA; Cyclohexa-1,5-dienecarbonoyl-CoA; S-1,5-Cyclohexadiene-1-carboxylate coenzymeA	Cyclohexa-1,5-diene-1-carbonyl-carnitine; Cyclohexa-1,5-dienecarbonyl-carnitine; S-1,5-Cyclohexadiene-1-carboxylate coenzymeA; Cyclohexa-1,5-diene-1-carbonoyl-carnitine; Cyclohexa-1,5-dienecarbonoyl-carnitine; S-1,5-Cyclohexadiene-1-carboxylate coenzymeA
C06387	4-Chlorobenzoyl-CoA; 4-Chlorobenzyl-CoA	4-Chlorobenzoyl-carnitine; 4-Chlorobenzyl-carnitine
C06625	Malonamoyl-CoA; Malonamyl-CoA	Malonamoyl-carnitine; Malonamyl-carnitine
C06671	2,4-Dichlorobenzoyl-CoA; 2,4-Dichlorobenzyl-CoA	2,4-Dichlorobenzoyl-carnitine; 2,4-Dichlorobenzyl-carnitine
C06714	3-Hydroxypimeloyl-CoA; 3-Hydroxypimelyl-CoA	3-Hydroxypimeloyl-carnitine; 3-Hydroxypimelyl-carnitine
C06715	3-Oxopimeloyl-CoA; 3-Ketopimelyl-CoA	3-Oxopimeloyl-carnitine; 3-Ketopimelyl-carnitine
C06723	6-Carboxyhex-2-enoyl-CoA; 2,3-Didehydro-pimeloyl-CoA; 6-Carboxyhex-2-enyl-CoA; 2,3-Didehydro-pimelyl-CoA	6-Carboxyhex-2-enoyl-carnitine; 2,3-Didehydro-pimeloyl-carnitine; 6-Carboxyhex-2-enyl-carnitine; 2,3-Didehydro-pimelyl-carnitine
C06736	(E)-11-Tetradecenoyl-CoA; (11E)-Tetradecenoyl-CoA; (E)-11-Tetradecenyl-CoA; (11E)-Tetradecenyl-CoA	(E)-11-Tetradecenoyl-carnitine; (11E)-Tetradecenoyl-carnitine; (E)-11-Tetradecenyl-carnitine; (11E)-Tetradecenyl-carnitine
C06737	(Z)-11-Tetradecenoyl-CoA; (11Z)-Tetradecenoyl-CoA; (Z)-11-Tetradecenyl-CoA; (11Z)-Tetradecenyl-CoA	(Z)-11-Tetradecenoyl-carnitine; (11Z)-Tetradecenoyl-carnitine; (Z)-11-Tetradecenyl-carnitine; (11Z)-Tetradecenyl-carnitine
C06749	6-Hydroxycyclohex-1-ene-1-carbonyl-CoA; 6-Hydroxycyclohex-1-enecarbonyl-CoA; 6-Hydroxycyclohex-1-ene-1-carboxyl-CoA; 6-Hydroxycyclohex-1-ene-1-carbonoyl-CoA; 6-Hydroxycyclohex-1-enecarbonoyl-CoA; 6-Hydroxycyclohex-1-ene-1-carboxoyl-CoA	6-Hydroxycyclohex-1-ene-1-carbonyl-carnitine; 6-Hydroxycyclohex-1-enecarbonyl-carnitine; 6-Hydroxycyclohex-1-ene-1-carboxyl-carnitine; 6-Hydroxycyclohex-1-ene-1-carbonoyl-carnitine; 6-Hydroxycyclohex-1-enecarbonoyl-carnitine; 6-Hydroxycyclohex-1-ene-1-carboxoyl-carnitine
C07118	Benzoylacetyl-CoA; Benzoylacetyl coenzyme A; Benzoylacetoyl-CoA; Benzoylacetyl coenzyme A	Benzoylacetyl-carnitine; Benzoylacetyl carnitine; Benzoylacetoyl-carnitine; Benzoylacetyl carnitine
C07160	[(1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetyl-CoA; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetyl coenzyme A; [(1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetoyl-CoA; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetoyl-CoA; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetyl coenzyme A	[(1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetyl-carnitine; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetyl-carnitine; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetyl carnitine; [(1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetoyl-carnitine; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetoyl-carnitine; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetyl carnitine
C07296	4,8,12-Trimethyltridecanoyl-CoA; 4,8,12-Trimethyltridecanyl-CoA	4,8,12-Trimethyltridecanoyl-carnitine; 4,8,12-Trimethyltridecanyl-carnitine
C07297	3-Oxopristanoyl-CoA; 3-Oxopristanyl-CoA	3-Oxopristanoyl-carnitine; 3-Oxopristanyl-carnitine
C07302	3-Hydroxy-3-(3-hydroxy-4-methoxyphenyl)propionyl-CoA; 3-Hydroxy-3-(3-hydroxy-4-methoxyphenyl)propionoyl-CoA	3-Hydroxy-3-(3-hydroxy-4-methoxyphenyl)propionyl-carnitine; 3-Hydroxy-3-(3-hydroxy-4-methoxyphenyl)propionoyl-carnitine
C07303	4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA; 4-Hydroxy-3-methoxyphenyl-beta-hydroxypropionyl-CoA; 3-Hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-CoA; 3-Hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoyl-CoA	4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-carnitine; 4-Hydroxy-3-methoxyphenyl-beta-hydroxypropionyl-carnitine; 3-Hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-carnitine; 3-Hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoyl-carnitine
C07343	2-Hydroxyphytanoyl-CoA; 2-Hydroxyphytanyl-CoA	2-Hydroxyphytanoyl-carnitine; 2-Hydroxyphytanyl-carnitine
C07347	Thiophene-2-carbonyl-CoA; Thiophene-2-carbonoyl-CoA	Thiophene-2-carbonyl-carnitine; Thiophene-2-carbonoyl-carnitine
C07348	5-Hydroxythiophene-2-carbonyl-CoA; 5-Hydroxythiophene-2-carbonoyl-CoA	5-Hydroxythiophene-2-carbonyl-carnitine; 5-Hydroxythiophene-2-carbonoyl-carnitine
C09809	Cyclohex-2,5-diene-1-carboxyl-CoA; Cyclohexa-2,5-diene-1-carbonyl-CoA; Cyclohex-2,5-diene-1-carboxoyl-CoA; Cyclohexa-2,5-diene-1-carbonoyl-CoA	Cyclohex-2,5-diene-1-carboxyl-carnitine; Cyclohexa-2,5-diene-1-carbonyl-carnitine; Cyclohex-2,5-diene-1-carboxoyl-carnitine; Cyclohexa-2,5-diene-1-carbonoyl-carnitine
C09810	Cyclohex-1,4-diene-1-carboxyl-CoA; Cyclohexa-1,4-diene-1-carbonyl-CoA; Cyclohex-1,4-diene-1-carboxoyl-CoA; Cyclohexa-1,4-diene-1-carbonoyl-CoA	Cyclohex-1,4-diene-1-carboxyl-carnitine; Cyclohexa-1,4-diene-1-carbonyl-carnitine; Cyclohex-1,4-diene-1-carboxoyl-carnitine; Cyclohexa-1,4-diene-1-carbonoyl-carnitine
C09811	Cyclohex-1-ene-1-carboxyl-CoA; Cyclohex-1-ene-1-carbonyl-CoA; Cyclohex-1-ene-1-carboxoyl-CoA; Cyclohex-1-ene-1-carbonoyl-CoA	Cyclohex-1-ene-1-carboxyl-carnitine; Cyclohex-1-ene-1-carbonyl-carnitine; Cyclohex-1-ene-1-carboxoyl-carnitine; Cyclohex-1-ene-1-carbonoyl-carnitine
C09812	2-Hydroxycyclohexane-1-carboxyl-CoA; 2-Hydroxycyclohexane-1-carbonyl-CoA; 2-Hydroxycyclohexane-1-carboxoyl-CoA; 2-Hydroxycyclohexane-1-carbonoyl-CoA	2-Hydroxycyclohexane-1-carboxyl-carnitine; 2-Hydroxycyclohexane-1-carbonyl-carnitine; 2-Hydroxycyclohexane-1-carboxoyl-carnitine; 2-Hydroxycyclohexane-1-carbonoyl-carnitine
C09813	2-Ketocyclohexane-1-carboxyl-CoA; 2-Oxocyclohexane-1-carbonyl-CoA; 2-Ketocyclohexane-1-carboxoyl-CoA; 2-Oxocyclohexane-1-carbonoyl-CoA	2-Ketocyclohexane-1-carboxyl-carnitine; 2-Oxocyclohexane-1-carbonyl-carnitine; 2-Ketocyclohexane-1-carboxoyl-carnitine; 2-Oxocyclohexane-1-carbonoyl-carnitine
C09817	Benzylsuccinyl-CoA; (R)-2-Benzylsuccinyl-CoA; Benzylsuccinoyl-CoA; (R)-2-Benzylsuccinoyl-CoA	Benzylsuccinyl-carnitine; (R)-2-Benzylsuccinyl-carnitine; Benzylsuccinoyl-carnitine; (R)-2-Benzylsuccinoyl-carnitine
C09818	E-Phenylitaconyl-CoA; (E)-2-Benzylidenesuccinyl-CoA; (E)-Benzylidenesuccinyl-CoA; E-Phenylitaconoyl-CoA; (E)-2-Benzylidenesuccinoyl-CoA; (E)-Benzylidenesuccinoyl-CoA	E-Phenylitaconyl-carnitine; (E)-2-Benzylidenesuccinyl-carnitine; (E)-Benzylidenesuccinyl-carnitine; E-Phenylitaconoyl-carnitine; (E)-2-Benzylidenesuccinoyl-carnitine; (E)-Benzylidenesuccinoyl-carnitine
C09819	(2S)-[(R)-Hydroxy(phenyl)methyl]succinyl-CoA; (Hydroxymethylphenyl)succinyl-CoA; (R,S)-2-(alpha-Hydroxybenzyl)succinyl-CoA; (2S)-[(R)-Hydroxy(phenyl)methyl]succinoyl-CoA; (Hydroxymethylphenyl)succinoyl-CoA; (R,S)-2-(alpha-Hydroxybenzyl)succinoyl-CoA	(2S)-[(R)-Hydroxy(phenyl)methyl]succinyl-carnitine; (Hydroxymethylphenyl)succinyl-carnitine; (R,S)-2-(alpha-Hydroxybenzyl)succinyl-carnitine; (2S)-[(R)-Hydroxy(phenyl)methyl]succinoyl-carnitine; (Hydroxymethylphenyl)succinoyl-carnitine; (R,S)-2-(alpha-Hydroxybenzyl)succinoyl-carnitine
C09820	(S)-2-Benzoylsuccinyl-CoA; Benzoylsuccinyl-CoA; 2-Benzoylsuccinyl-CoA; (S)-2-Benzoylsuccinoyl-CoA; Benzoylsuccinoyl-CoA; 2-Benzoylsuccinoyl-CoA	(S)-2-Benzoylsuccinyl-carnitine; Benzoylsuccinyl-carnitine; 2-Benzoylsuccinyl-carnitine; (S)-2-Benzoylsuccinoyl-carnitine; Benzoylsuccinoyl-carnitine; 2-Benzoylsuccinoyl-carnitine
C09821	6-Oxocyclohex-1-ene-1-carbonyl-CoA; 6-Ketoxycyclohex-1-ene-1-carboxyl-CoA; 6-Oxocyclohex-1-ene-1-carbonoyl-CoA; 6-Ketoxycyclohex-1-ene-1-carboxoyl-CoA	6-Oxocyclohex-1-ene-1-carbonyl-carnitine; 6-Ketoxycyclohex-1-ene-1-carboxyl-carnitine; 6-Oxocyclohex-1-ene-1-carbonoyl-carnitine; 6-Ketoxycyclohex-1-ene-1-carboxoyl-carnitine
C09823	Cyclohexane-1-carboxyl-CoA; Cyclohexane-1-carbonyl-CoA; Cyclohexane-1-carboxoyl-CoA; Cyclohexane-1-carbonoyl-CoA	Cyclohexane-1-carboxyl-carnitine; Cyclohexane-1-carbonyl-carnitine; Cyclohexane-1-carboxoyl-carnitine; Cyclohexane-1-carbonoyl-carnitine
C09824	2,6-Dihydroxycyclohexane-1-carbonyl-CoA; 2,6-Dihydroxycyclohexane-1-carboxyl-CoA; 2,6-Dihydroxycyclohexane-1-carbonoyl-CoA; 2,6-Dihydroxycyclohexane-1-carboxoyl-CoA	2,6-Dihydroxycyclohexane-1-carbonyl-carnitine; 2,6-Dihydroxycyclohexane-1-carboxyl-carnitine; 2,6-Dihydroxycyclohexane-1-carbonoyl-carnitine; 2,6-Dihydroxycyclohexane-1-carboxoyl-carnitine
C09825	2-Hydroxy-6-oxocyclohexane-1-carbonyl-CoA; 6-Oxo-2-hydroxycyclohexane-1-carboxyl-CoA; 2-Hydroxy-6-oxocyclohexane-1-carbonoyl-CoA; 6-Oxo-2-hydroxycyclohexane-1-carboxoyl-CoA	2-Hydroxy-6-oxocyclohexane-1-carbonyl-carnitine; 6-Oxo-2-hydroxycyclohexane-1-carboxyl-carnitine; 2-Hydroxy-6-oxocyclohexane-1-carbonoyl-carnitine; 6-Oxo-2-hydroxycyclohexane-1-carboxoyl-carnitine
C11062	4-Hydroxybutyryl-CoA; 4-Hydroxybutanoyl-CoA	4-Hydroxybutyryl-carnitine; 4-Hydroxybutanoyl-carnitine
C11407	(3R)-3-Isopropenyl-6-oxoheptanoyl-CoA; (3R)-3-Isopropenyl-6-oxoheptanyl-CoA	(3R)-3-Isopropenyl-6-oxoheptanoyl-carnitine; (3R)-3-Isopropenyl-6-oxoheptanyl-carnitine
C11421	(3S)-3-Isopropenyl-6-oxoheptanoyl-CoA; (3S)-3-Isopropenyl-6-oxoheptanyl-CoA	(3S)-3-Isopropenyl-6-oxoheptanoyl-carnitine; (3S)-3-Isopropenyl-6-oxoheptanyl-carnitine
C11448	3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonyl-CoA; Benzoxazolinyl-CoA; 3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonoyl-CoA; Benzoxazolinoyl-CoA	3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonyl-carnitine; Benzoxazolinyl-carnitine; 3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonoyl-carnitine; Benzoxazolinoyl-carnitine
C11929	Perillyl-CoA; Perilloyl-CoA	Perillyl-carnitine; Perilloyl-carnitine
C11934	2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA; 2-Hydroxy-4-isopropenylcyclohexane-1-carboxoyl-CoA	2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-carnitine; 2-Hydroxy-4-isopropenylcyclohexane-1-carboxoyl-carnitine
C11935	4-Isopropenyl-2-oxy-cyclohexanecarboxyl-CoA; 4-Isopropenyl-2-ketocyclohexane-1-carboxyl-CoA; 4-Isopropenyl-2-oxy-cyclohexanecarboxoyl-CoA; 4-Isopropenyl-2-ketocyclohexane-1-carboxoyl-CoA	4-Isopropenyl-2-oxy-cyclohexanecarboxyl-carnitine; 4-Isopropenyl-2-ketocyclohexane-1-carboxyl-carnitine; 4-Isopropenyl-2-oxy-cyclohexanecarboxoyl-carnitine; 4-Isopropenyl-2-ketocyclohexane-1-carboxoyl-carnitine
C11936	3-Isopropenylpimelyl-CoA; 3-Isopropenylpimeloyl-CoA	3-Isopropenylpimelyl-carnitine; 3-Isopropenylpimeloyl-carnitine
C11945	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA; trans-2-Methyl-5-isopropylhexa-2,5-dienyl-CoA	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-carnitine; trans-2-Methyl-5-isopropylhexa-2,5-dienyl-carnitine
C11946	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA; cis-2-Methyl-5-isopropylhexa-2,5-dienyl-CoA	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-carnitine; cis-2-Methyl-5-isopropylhexa-2,5-dienyl-carnitine
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA; 3-Hydroxy-2,6-dimethyl-5-methylene-heptanyl-CoA	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-carnitine; 3-Hydroxy-2,6-dimethyl-5-methylene-heptanyl-carnitine
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA; 2,6-Dimethyl-5-methylene-3-oxo-heptanyl-CoA	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-carnitine; 2,6-Dimethyl-5-methylene-3-oxo-heptanyl-carnitine
C11949	3-Isopropylbut-3-enoyl-CoA; 3-Isopropylbut-3-enyl-CoA	3-Isopropylbut-3-enoyl-carnitine; 3-Isopropylbut-3-enyl-carnitine
C12092	N-Methylanthraniloyl-CoA; N-Methylanthranilyl-CoA	N-Methylanthraniloyl-carnitine; N-Methylanthranilyl-carnitine
C12146	C26-CoA	C26-carnitine
C12203	5-Hydroxyferuloyl-CoA; 5-Hydroxyferulyl-CoA	5-Hydroxyferuloyl-carnitine; 5-Hydroxyferulyl-carnitine
C12324	3,5-Dihydroxyphenylacetyl-CoA; 3,5-Dihydroxyphenylacetoyl-CoA	3,5-Dihydroxyphenylacetyl-carnitine; 3,5-Dihydroxyphenylacetoyl-carnitine
C12450	Pseudoecgonyl-CoA; Pseudoecgonoyl-CoA	Pseudoecgonyl-carnitine; Pseudoecgonoyl-carnitine
C14116	Naphthyl-2-methyl-succinyl-CoA; Naphthyl-2-methyl-succinoyl-CoA	Naphthyl-2-methyl-succinyl-carnitine; Naphthyl-2-methyl-succinoyl-carnitine
C14117	Naphthyl-2-methylene-succinyl-CoA; Naphthyl-2-methylene-succinoyl-CoA	Naphthyl-2-methylene-succinyl-carnitine; Naphthyl-2-methylene-succinoyl-carnitine
C14118	Naphthyl-2-hydroxymethyl-succinyl CoA	Naphthyl-2-hydroxymethyl-succinyl carnitine
C14119	Naphthyl-2-oxomethyl-succinyl-CoA; Naphthyl-2-oxomethyl-succinoyl-CoA	Naphthyl-2-oxomethyl-succinyl-carnitine; Naphthyl-2-oxomethyl-succinoyl-carnitine
C14120	2-Naphthoyl-CoA; 2-Naphthyl-CoA	2-Naphthoyl-carnitine; 2-Naphthyl-carnitine
C14143	Adipyl-CoA; 5-Carboxypentanoyl-CoA	Adipyl-carnitine; 5-Carboxypentanoyl-carnitine
C14144	5-Carboxy-2-pentenoyl-CoA; 2,3-Didehydroadipyl-CoA	5-Carboxy-2-pentenoyl-carnitine; 2,3-Didehydroadipyl-carnitine
C14145	(3S)-3-Hydroxyadipyl-CoA; (3S)-3-Hydroxyadipoyl-CoA	(3S)-3-Hydroxyadipyl-carnitine; (3S)-3-Hydroxyadipoyl-carnitine
C15489	S-2-(Indol-3-yl)acetyl-CoA; (Indol-3-yl)acetyl-CoA; S-2-(Indol-3-yl)acetoyl-CoA; (Indol-3-yl)acetoyl-CoA	S-2-(Indol-3-yl)acetyl-carnitine; (Indol-3-yl)acetyl-carnitine; S-2-(Indol-3-yl)acetoyl-carnitine; (Indol-3-yl)acetoyl-carnitine
C15524	Phenylglyoxylyl-CoA; Phenylglyoxyloyl-CoA	Phenylglyoxylyl-carnitine; Phenylglyoxyloyl-carnitine
C15547	1,4-Dihydroxy-2-naphthoyl-CoA; 1,4-Dihydroxy-2-naphthyl-CoA	1,4-Dihydroxy-2-naphthoyl-carnitine; 1,4-Dihydroxy-2-naphthyl-carnitine
C15560	Deoxycholoyl-CoA; Deoxycholyl-CoA	Deoxycholoyl-carnitine; Deoxycholyl-carnitine
C15613	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA; (25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-yl-CoA	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-carnitine; (25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-yl-carnitine
